bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-NDARJM036PVX_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0311	0.0163	0.0163	0.0005	1.7481	0.6063	0.5813	0.0	0.0	262.44	410.0625	138.0625	1.7706	128	99.2248062015504	0.6752	31.1346	11.298	1.6508	3.72	4.18	4.18	2.08	1.06	75.72	417.2	213.26	485.21	250.3803	4.4478	11.2746	5.0	539662.0	1.0	38.0	30.6778	5.4494	106.7474	238.0872	214.0	239090.0	81.0	471.0	129.7545	4.1758	84.5083	207.6336	187.0	147785.0	81.0	401.0	104.1698
sub-NDARJM296MDW_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1311	0.0361	0.0271	0.001	1.7434	0.5703	0.558	0.0	0.0	393.0	370.5625	115.5625	6.7173	128	99.2248062015504	0.3959	28.1694	10.866	1.3206	4.57	4.08	4.08	2.4	1.32	68.58	277.45	278.48	454.39	312.9962	2.9652	9.6475	4.0	562244.0	1.0	32.0	26.6931	7.1999	93.4039	234.9476	211.0	216508.0	98.0	457.0	118.8198	7.8536	85.9909	218.1341	198.0	164486.0	94.0	408.0	105.6225
sub-NDARJR687LGX_ses-HBNsiteSI_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.074	0.0329	0.0306	0.0002	2.2433	1.138	0.8311	0.0	0.0	0.0	10.8262	7.84	2.1871	128	99.2248062015504	0.7941	34.0999	11.1002	10.2347	6.58	7.98	7.98	4.2	1.89	48.42	292.72	236.64	234.68	104.5377	7.413	45.7785	33.0	500759.0	24.0	115.0	47.9504	2.4301	131.9516	351.3755	325.0	162793.0	153.0	634.0	152.9627	7.9516	75.6127	277.0774	267.0	51399.0	162.0	426.0	94.2721
sub-NDARJW072UJ3_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1692	0.0372	0.0304	0.002	1.8017	0.6333	0.6119	0.0	0.0	229.3333	225.0	115.5625	3.3264	128	99.2248062015504	0.8183	28.1694	11.8126	1.3206	3.7	4.08	4.08	1.96	1.5	149.19	934.83	887.21	1132.4	91.9114	5.9304	26.1373	6.0	529034.0	1.0	85.0	91.6405	8.1629	105.2648	254.6481	214.0	249718.0	98.0	565.0	157.6894	60.0696	47.4433	162.5382	151.0	85017.0	85.0	269.0	71.733
sub-NDARKF363RN1_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.118	0.0287	0.0251	0.0014	2.1432	0.7108	0.6182	0.0	0.0	103.8571	256.0	96.04	3.3025	128	99.2248062015504	0.6388	57.8215	12.9939	1.6508	2.63	4.0	4.0	1.19	0.87	130.69	865.47	888.24	882.27	117.7061	7.413	28.7308	7.0	517839.0	1.0	94.0	95.3854	14.8643	108.23	274.5479	224.0	260913.0	98.0	632.0	186.8339	23.2188	93.4039	246.0624	209.0	196057.0	97.0	525.0	153.4932
sub-NDARKH298MA3_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1268	0.0523	0.0565	0.0024	1.1161	0.597	0.6029	0.0	0.0	289.0	144.0	76.5625	2.0014	128	99.2248062015504	0.5077	37.0651	11.1573	1.6508	2.99	2.81	2.81	1.47	0.79	83.49	537.29	605.62	464.43	372.808	5.9304	13.0548	6.0	562786.0	1.0	45.0	34.1832	7.5375	74.1301	181.8665	161.0	215966.0	59.0	374.0	102.8847	7.4784	72.6475	180.2327	160.0	190311.0	62.0	371.0	100.6016
sub-NDARKX528PH3_ses-HBNsiteCBIC_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0474	0.0184	0.0169	0.0015	4.2298	2.4643	1.8246	0.0	0.0	0.0	0.0402	0.0883	1.141	126	97.67441860465117	0.6668	121.5734	66.2619	43.2498	4.92	6.88	6.88	3.21	1.71	73.5	266.06	317.82	481.63	133.8146	34.0999	192.989	142.0	521754.0	104.0	455.0	210.568	3.2677	601.9365	1401.2504	1277.0	256998.0	514.0	2678.0	695.2866	3.5037	545.5976	1298.5425	1135.0	118836.0	453.0	2568.0	678.1057
sub-NDARLJ280UCN_ses-HBNsiteCBIC_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0701	0.023	0.0195	0.001	3.889	2.2369	1.6837	0.0	0.0	0.0	0.0278	0.0897	1.4721	127	98.44961240310077	0.5342	200.1513	66.9266	42.9197	3.31	5.6	5.6	1.84	1.15	69.95	270.2	166.67	443.64	84.2964	29.652	192.3951	138.0	540970.0	103.0	426.0	240.4964	4.9542	538.1846	1370.9835	1247.0	237782.0	597.0	2577.0	641.806	10.5068	388.4418	1170.5242	1012.0	81926.0	553.0	2296.0	580.7331
sub-NDARLJ970DEY_ses-HBNsiteCBIC_acq-64dirVARIANTObliquity_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.112	0.0321	0.0195	0.0008	3.6334	2.1387	1.6466	0.0	0.0	-0.0053	0.0333	0.0897	1.6397	128	99.2248062015504	0.5916	187.5492	67.4487	43.2498	3.8	5.28	5.28	2.05	1.24	65.18	197.73	279.52	392.76	198.2075	29.652	176.7434	140.0	551959.0	104.0	356.0	176.6268	5.4481	518.9108	1342.1047	1214.0	226793.0	573.0	2525.0	643.5216	15.1516	358.7897	1095.756	992.0	94846.0	522.0	1991.0	499.9742
sub-NDARLM713ZAM_ses-HBNsiteRU_acq-64dir_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.0318	0.009	0.0076	0.0006	2.1178	0.5759	0.5617	0.0	0.0	161.5625	495.0625	150.0625	1.0272	126	97.67441860465117	0.612	31.1346	10.9756	1.3206	4.47	8.45	8.45	2.26	1.08	43.64	191.52	97.31	225.05	149.3772	2.9652	10.6536	4.0	563105.0	1.0	35.0	30.0849	5.1318	97.8517	247.7368	237.0	215647.0	103.0	426.0	106.8684	2.0256	91.9213	234.4523	222.0	150668.0	104.0	404.0	97.7293
