------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-18 14:54:24 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 14:54:24 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.035904s.
2024-04-18 14:54:25 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 14:54:25 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 14:54:25 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.51991s.
2024-04-18 14:54:26 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/463f8c2219bfba8cd3aa6c2437f921bf8fc3c5ea/load_bmat".
2024-04-18 14:54:26 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/463f8c2219bfba8cd3aa6c2437f921bf8fc3c5ea/sanitize".
2024-04-18 14:54:26 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/463f8c2219bfba8cd3aa6c2437f921bf8fc3c5ea/provenance".
2024-04-18 14:54:26 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/463f8c2219bfba8cd3aa6c2437f921bf8fc3c5ea/metadata".
2024-04-18 14:54:26 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 14:54:26 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.017955s.
