------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-18 05:40:29 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 05:40:29 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 05:40:29 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:40:29 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.046674s.
2024-04-18 05:40:30 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.465458s.
2024-04-18 05:40:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/f7b872e6b55ea2ebb8a701d4fe10d04aab01aea4/load_bmat".
2024-04-18 05:40:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/f7b872e6b55ea2ebb8a701d4fe10d04aab01aea4/sanitize".
2024-04-18 05:40:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/f7b872e6b55ea2ebb8a701d4fe10d04aab01aea4/provenance".
2024-04-18 05:40:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/f7b872e6b55ea2ebb8a701d4fe10d04aab01aea4/metadata".
2024-04-18 05:40:32 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:40:32 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 05:40:32 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 05:40:32 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 05:40:32 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.054582s.
2024-04-18 05:40:32 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.255874s.
2024-04-18 05:40:33 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.733227s.
2024-04-18 05:40:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ee1aa6aab81c1d70deeb669ac901b5c1ea239a36/load_bmat".
2024-04-18 05:40:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ee1aa6aab81c1d70deeb669ac901b5c1ea239a36/sanitize".
2024-04-18 05:40:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/ee1aa6aab81c1d70deeb669ac901b5c1ea239a36/provenance".
2024-04-18 05:40:33 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/ee1aa6aab81c1d70deeb669ac901b5c1ea239a36/metadata".
2024-04-18 05:40:35 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 05:40:35 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 05:40:35 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 05:40:35 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 05:40:35 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.205037s.
2024-04-18 05:40:35 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.042959s.
2024-04-18 05:40:36 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.735126s.
2024-04-18 05:40:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/08351e498d7abdc2af5452c9f5169f75d5ad0560/load_bmat".
2024-04-18 05:40:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/08351e498d7abdc2af5452c9f5169f75d5ad0560/sanitize".
2024-04-18 05:40:36 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/08351e498d7abdc2af5452c9f5169f75d5ad0560/provenance".
