------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.012251s.
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.133599s.
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/5d38941b090253e270da27489425deabefaea66e/load_bmat".
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/5d38941b090253e270da27489425deabefaea66e/sanitize".
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/5d38941b090253e270da27489425deabefaea66e/provenance".
2024-04-17 14:46:43 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/5d38941b090253e270da27489425deabefaea66e/metadata".
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.026862s.
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.047445s.
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.187142s.
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/6ef9d4bb3c2574811cdb45dcf1f4401cb82fc8f9/load_bmat".
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/6ef9d4bb3c2574811cdb45dcf1f4401cb82fc8f9/sanitize".
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/6ef9d4bb3c2574811cdb45dcf1f4401cb82fc8f9/provenance".
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/6ef9d4bb3c2574811cdb45dcf1f4401cb82fc8f9/metadata".
2024-04-17 14:46:45 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 7.237217s.
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 9.145475s.
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.019049s.
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.128776s.
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/d161e7bd3fb755420aaa86c42bacd90d0bd3e1ee/sanitize".
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/d161e7bd3fb755420aaa86c42bacd90d0bd3e1ee/load_bmat".
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/d161e7bd3fb755420aaa86c42bacd90d0bd3e1ee/provenance".
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/d161e7bd3fb755420aaa86c42bacd90d0bd3e1ee/metadata".
2024-04-17 14:46:46 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 3.527594s.
2024-04-17 14:46:47 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:47 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:47 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:47 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:47 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.025966s.
2024-04-17 14:46:47 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.137005s.
2024-04-17 14:46:47 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/46f88c55cbaec6039921e1ef5196da32bc88dd6f/load_bmat".
2024-04-17 14:46:47 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/46f88c55cbaec6039921e1ef5196da32bc88dd6f/sanitize".
2024-04-17 14:46:47 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/46f88c55cbaec6039921e1ef5196da32bc88dd6f/provenance".
2024-04-17 14:46:47 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/46f88c55cbaec6039921e1ef5196da32bc88dd6f/metadata".
2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.031038s.
2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.049872s.
2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.220218s.
2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/8ef86130757a278371112a1923e4994931f439c2/load_bmat".
2024-04-17 14:46:48 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/8ef86130757a278371112a1923e4994931f439c2/sanitize".
