rater_id	input_file	rating	time_sec	timestamp	artifacts	comments
oe	sub-NDARHD017XEU_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	3.15	41.612	2024-04-18 14:36:59	n/a	n/a
oe	sub-NDARCG037CX4_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.65	36.392	2024-04-18 14:37:42	n/a	n/a
oe	sub-NDARDF374LGN_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	1	44.377	2024-04-18 14:38:40	n/a	n/a
oe	sub-NDARHG188YE9_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	2.15	56.469	2024-04-18 14:39:45	n/a	n/a
oe	sub-NDARBK669XJQ_ses-HBNsiteSI_acq-64dir_dwi.nii.gz	3.4	59.325	2024-04-19 08:52:13	n/a	n/a
oe	sub-NDARBZ913ZB9_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	2.05	44.432	2024-04-19 08:53:04	n/a	n/a
oe	sub-NDARDF373ZDW_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1.9	75.008	2024-04-19 08:54:26	processing	n/a
oe	sub-NDAREV294WZ4_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	2.7	55.597	2024-04-19 08:55:30	ghost-aliasing	n/a
oe	sub-NDARFR301KKP_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.75	39.117	2024-04-19 08:56:19	n/a	n/a
oe	sub-NDARGA346NA7_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.4	60.13	2024-04-19 09:04:28	n/a	n/a
oe	sub-NDARHC825ZFZ_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	2.2	29.159	2024-04-19 09:05:06	n/a	n/a
oe	sub-NDARHX418ZGJ_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.6	35.316	2024-04-19 09:05:48	n/a	n/a
oe	sub-NDARHZ852XY0_ses-HBNsiteCBIC_acq-64dir_dwi.nii.gz	1	28.793	2024-04-19 09:06:40	n/a	n/a
oe	sub-NDARJM296MDW_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1.35	39.651	2024-04-19 09:07:56	wrap-around	n/a
oe	sub-NDARJW072UJ3_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.9	31.18	2024-04-19 09:08:35	n/a	n/a
oe	sub-NDARKF363RN1_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	2.15	51.642	2024-04-19 09:09:35	n/a	n/a
oe	sub-NDARKH298MA3_ses-HBNsiteRU_acq-64dir_dwi.nii.gz	1.9	44.007	2024-04-19 09:10:24	n/a	n/a
